partynr,partyDescriptionEN,partyDescriptionNL
1,conservatives,conservatieven
2,liberals,liberalen
3,christian-conservatives,christen-conservatieven
4,centrists,centrum
5,regionalists,regionalist
6,greens,groenen
7,socialists/communists,socialisten/communisten
8,christian-democrats,christendemocraten
9,nationalist-conservative/eurosceptic,nationaal-conservatief/eurosceptisch
10,social-democrats,sociaal-democraten
11,nationalist-conservative/eurosceptic,rechts/eurosceptisch
12,nationalist-conservative/eurosceptic,eurosceptisch/nationaal-conservatief
13,euroskeptic,eurosceptisch
14,nationalist conservative,nationaal-conservatief
15,nazi/extreme right,nazi/extreem rechts
